A,B,C,D,E
ALZ,NAVIGLIO GRANDE,12,5144,6
ALZ,NAVIGLIO GRANDE,44,5144,6
ALZ,NAVIGLIO GRANDE,48,5144,6
ALZ,NAVIGLIO GRANDE,8,5144,6
ALZ,NAVIGLIO PAVESE,24,5161,6
ALZ,NAVIGLIO PAVESE,6,5161,6
BST,DI PORTA NUOVA,10,1062,1
BST,DI PORTA VOLTA,9,1066,1
BST,DI PORTA VOLTA,9,1066,1
VIA,CALDERA,21,6302,7
VLE,MONZA,37,2274,2
CSO,BUENOS AIRES,3,2129,3
CSO,COLOMBO CRISTOFORO,1,5114,6
CSO,COLOMBO CRISTOFORO,3,5114,6
CSO,COLOMBO CRISTOFORO,6,5114,6
CSO,COMO,15,1111,9
CSO,CONCORDIA,10,3116,4
CSO,DI PORTA ROMANA,111,402,1
CSO,DI PORTA ROMANA,131,402,1
CSO,DI PORTA ROMANA,132,402,1
CSO,DI PORTA ROMANA,51,402,1
CSO,DI PORTA TICINESE,1,541,1
CSO,DI PORTA TICINESE,38,541,1
CSO,DI PORTA TICINESE,59,541,1
CSO,DI PORTA TICINESE,6,541,1
CSO,DI PORTA TICINESE,83,541,1
CSO,DI PORTA VIGENTINA,10,4026,1
CSO,DI PORTA VIGENTINA,2,4026,1
CSO,DI PORTA VIGENTINA,6,4026,1
CSO,DI PORTA VITTORIA,18,3016,1
CSO,DI PORTA VITTORIA,47,3016,1
CSO,DI PORTA VITTORIA,51,3016,1
CSO,EUROPA,18,300,1
CSO,EUROPA,22,300,1
CSO,EUROPA,5,300,1
CSO,GARIBALDI GIUSEPPE,104,1010,1
CSO,GARIBALDI GIUSEPPE,12,1010,1
CSO,GARIBALDI GIUSEPPE,34,1010,1
CSO,GARIBALDI GIUSEPPE,36,1010,1
CSO,GARIBALDI GIUSEPPE,59,1010,1
CSO,GARIBALDI GIUSEPPE,59,1010,1
CSO,GARIBALDI GIUSEPPE,68,1010,1
CSO,GARIBALDI GIUSEPPE,79,1010,1
CSO,GARIBALDI GIUSEPPE,81,1010,1
CSO,ITALIA,34,526,1
VIA,FOSCOLO UGO,4,205,1
CSO,GENOVA,7,5164,1
CSO,INDIPENDENZA,12,3118,4
CSO,ITALIA,34,526,1
CSO,ITALIA,6,526,1
CSO,DI PORTA ROMANA,51,402,1
CSO,LODI,104,4068,4
CSO,LODI,59,4068,4
CSO,LODI,83,4068,4
CSO,LODI,92,4068,4
CSO,MAGENTA,24,604,1
CSO,MAGENTA,48,604,1
CSO,MAGENTA,65,604,1
CSO,MAGENTA,87,604,1
CSO,MATTEOTTI GIACOMO,4,218,1
CSO,MATTEOTTI GIACOMO,4,218,1
CSO,MATTEOTTI GIACOMO,6,218,1
CSO,SAN GOTTARDO,2,5203,5
CSO,SAN GOTTARDO,49,5203,5
CSO,SAN GOTTARDO,8,5203,5
CSO,SEMPIONE,10,7137,1
CSO,SEMPIONE,11,7137,1
CSO,SEMPIONE,30,7137,8
CSO,SEMPIONE,34,7137,8
CSO,SEMPIONE,34,7137,8
CSO,SEMPIONE,81,7137,8
CSO,SEMPIONE,88,7137,8
CSO,VENTIDUE MARZO,25,3074,4
CSO,VENTIDUE MARZO,49,3074,4
GLL,PASSARELLA,2,303,1
LGO,AUGUSTO,3,315,1
LGO,BRASILIA,4,6145,6
LGO,CAIROLI,2,710,1
LGO,DEI GELSOMINI,2,5394,6
