Tipo esercizio storico pubblico esercizio;Insegna;Indirizzo;Tipo via;Nome via;Civico;Codice via;ZD;Forma commercio;Forma commercio precedente;Forma vendita;Settore storico pubblico esercizio;Superficie somministrazione;Tipo_macro;Forma vendita_filled;is_outlier_superficie
ristorante;unknown;"alz naviglio grande n. 12 ; isolato:057; (z.d. 6)";alz;naviglio grande;12;5144;6;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;ristorante";83.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;alz naviglio grande n. 44 (z.d. 6);alz;naviglio grande;44;5144;6;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;26.0;BAR;non dichiarata;False
bar caffè;unknown;alz naviglio grande n. 48 (z.d. 6);alz;naviglio grande;48;5144;6;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;58.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;alz naviglio grande n. 8 (z.d. 6);alz;naviglio grande;8;5144;6;solo somministrazione;somministrazione;al tavolo;"bar caffè e simili;ristorante, trattoria, osteria";101.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;alz naviglio pavese n. 24 (z.d. 6);alz;naviglio pavese;24;5161;6;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;51.0;BAR;non dichiarata;False
bar caffè;unknown;alz naviglio pavese n. 6 (z.d. 6);alz;naviglio pavese;6;5161;6;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar pasticc.gelat.crem.creper.";20.0;BAR;non dichiarata;False
bar caffè;unknown;"bst di porta nuova n. 10 con ingr.su piazza xxv aprile; (z.d. 1)";bst;di porta nuova;10;1062;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar caffè";341.0;BAR;non dichiarata;False
bar caffè;unknown;bst di porta volta n. 9 (z.d. 1);bst;di porta volta;9;1066;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;tavola fredda;cibi cotti preconfezionati";51.0;BAR;non dichiarata;False
bar caffè;unknown;bst di porta volta n. 9 (z.d. 1);bst;di porta volta;9;1066;1;solo somministrazione;somministrazione;al banco;"wine,birr.,pub enot.,caff.,the;bar caffè;genere merceol.autorizz.sanit.;tavola fredda";26.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;"bst di porta volta num.018/a ; (z.d. 1)";bst;di porta volta;18;1066;1;solo somministrazione;somministrazione;al tavolo;"bar caffè e simili;ristorante, trattoria, osteria";115.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;via caldera n. 21 (z.d. 7);via;caldera;21;6302;7;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;100.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;vle monza n. 37 (z.d. 2);vle;monza;37;2274;2;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;52.0;BAR;non dichiarata;False
ristorante;unknown;"cso buenos aires n. 3 c/o hotel; (z.d. 3)";cso;buenos aires;3;2129;3;solo somministrazione;somministrazione;al tavolo;"ristorante;bar caffè;ristorante, trattoria, osteria";179.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso colombo cristoforo n. 1 (z.d. 6);cso;colombo cristoforo;1;5114;6;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;36.0;BAR;non dichiarata;False
bar caffè;unknown;cso colombo cristoforo n. 3 (z.d. 6);cso;colombo cristoforo;3;5114;6;solo somministrazione;somministrazione;al banco;"cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar caffè";34.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;cso colombo cristoforo n. 6 (z.d. 6);cso;colombo cristoforo;6;5114;6;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;37.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;"cso como n. 15 ingr. da via de tequeville; (z.d. 9)";cso;como;15;1111;9;solo somministrazione;somministrazione;al tavolo;"bar gastronomici e simili;bar caffè e simili;ristorante, trattoria, osteria";119.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso concordia n. 10 (z.d. 4);cso;concordia;10;3116;4;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;53.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso di porta romana n. 111 (z.d. 1);cso;di porta romana;111;402;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;ristorante, trattoria, osteria;bar caffè e simili";35.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;"cso di porta romana n. 131 ingresso in via caldara; (z.d. 1)";cso;di porta romana;131;402;1;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;wine,birr.,pub enot.,caff.,the";20.0;BAR;non dichiarata;False
ristorante, trattoria, osteria;unknown;cso di porta romana n. 132 (z.d. 1);cso;di porta romana;132;402;1;solo somministrazione;somministrazione;al tavolo;ristorante, trattoria, osteria;42.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso di porta romana n. 51 (z.d. 1);cso;di porta romana;51;402;1;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;24.0;BAR;non dichiarata;False
bar caffè;unknown;cso di porta ticinese n. 1 (z.d. 1);cso;di porta ticinese;1;541;1;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;bar caffè e simili";185.0;RISTORANTE;non dichiarata;False
bar caffè;unknown;cso di porta ticinese n. 38 (z.d. 1);cso;di porta ticinese;38;541;1;solo somministrazione;somministrazione;al banco;"bar caffè;bar caffè e simili;tavola fredda";10.0;BAR;non dichiarata;False
bar caffè;unknown;cso di porta ticinese n. 59 (z.d. 1);cso;di porta ticinese;59;541;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;41.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso di porta ticinese n. 6 (z.d. 1);cso;di porta ticinese;6;541;1;solo somministrazione;somministrazione;al tavolo;"ristorante;ristorante, trattoria, osteria;bar caffè";78.0;RISTORANTE;non dichiarata;False
tavola calda;unknown;cso di porta ticinese n. 83 (z.d. 1);cso;di porta ticinese;83;541;1;solo somministrazione;somministrazione;al banco;"tavola calda;genere merceol.autorizz.sanit.;tav.calde,self service,fast f.";16.0;GASTRONOMIA;non dichiarata;False
bar pasticc.gelat.crem.creper.;unknown;cso di porta vigentina n. 10 (z.d. 1);cso;di porta vigentina;10;4026;1;solo somministrazione;somministrazione;al banco;bar pasticc.gelat.crem.creper.;15.0;BAR;non dichiarata;False
bar caffè;unknown;cso di porta vigentina n. 2 (z.d. 1);cso;di porta vigentina;2;4026;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;31.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso di porta vigentina n. 6 (z.d. 1);cso;di porta vigentina;6;4026;1;solo somministrazione;somministrazione;al banco;genere merceol.autorizz.sanit.;16.0;GASTRONOMIA;non dichiarata;False
bar caffè;unknown;cso di porta vittoria n. 18 (z.d. 1);cso;di porta vittoria;18;3016;1;solo somministrazione;somministrazione;al banco;"cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar caffè;tavola fredda";60.0;BAR;non dichiarata;False
